Index,C,Score,gamma
434,59.5959595959596,0.8536666666666667,0.35000000000000003
435,59.5959595959596,0.8453333333333333,0.36000000000000004
436,59.5959595959596,0.8453333333333333,0.37
437,59.5959595959596,0.8373333333333333,0.38
438,59.5959595959596,0.8456666666666667,0.39
439,59.5959595959596,0.8456666666666667,0.4
440,59.5959595959596,0.8453333333333333,0.41000000000000003
441,59.5959595959596,0.8453333333333333,0.42000000000000004
442,59.5959595959596,0.8453333333333333,0.43
443,59.5959595959596,0.8453333333333333,0.44
444,59.5959595959596,0.8370000000000001,0.45
445,59.5959595959596,0.8370000000000001,0.46
446,59.5959595959596,0.8370000000000001,0.47000000000000003
447,59.5959595959596,0.8370000000000001,0.48000000000000004
448,59.5959595959596,0.8370000000000001,0.49
449,59.5959595959596,0.8370000000000001,0.5
450,59.5959595959596,0.829,0.51
451,59.5959595959596,0.829,0.52
452,59.5959595959596,0.829,0.53
453,59.5959595959596,0.829,0.54
454,59.5959595959596,0.8370000000000001,0.55
455,59.5959595959596,0.8370000000000001,0.56
456,59.5959595959596,0.8370000000000001,0.5700000000000001
457,59.5959595959596,0.8370000000000001,0.5800000000000001
458,59.5959595959596,0.8370000000000001,0.59
459,59.5959595959596,0.8370000000000001,0.6
460,59.5959595959596,0.8370000000000001,0.61
461,59.5959595959596,0.8370000000000001,0.62
462,59.5959595959596,0.8370000000000001,0.63
463,59.5959595959596,0.845,0.64
464,59.5959595959596,0.845,0.65
465,59.5959595959596,0.845,0.66
466,59.5959595959596,0.845,0.67
467,59.5959595959596,0.845,0.68
468,59.5959595959596,0.845,0.6900000000000001
469,59.5959595959596,0.845,0.7000000000000001
470,59.5959595959596,0.845,0.7100000000000001
471,59.5959595959596,0.845,0.72
472,59.5959595959596,0.8533333333333333,0.73
473,59.5959595959596,0.8533333333333333,0.74
474,59.5959595959596,0.8533333333333333,0.75
475,59.5959595959596,0.8533333333333333,0.76
476,59.5959595959596,0.8533333333333333,0.77
477,59.5959595959596,0.8533333333333333,0.78
478,59.5959595959596,0.8533333333333333,0.79
479,59.5959595959596,0.8533333333333333,0.8
480,59.5959595959596,0.8533333333333333,0.81
481,59.5959595959596,0.8533333333333333,0.8200000000000001
482,59.5959595959596,0.8533333333333333,0.8300000000000001
483,59.5959595959596,0.8533333333333333,0.8400000000000001
484,59.5959595959596,0.8533333333333333,0.85
